headword,CEFR,lemma
cheese,A1,cheese
chef,A2,chef
chemical,A2,chemical
chemical,B1,chemical
chemist,B1,chemist
chemistry,B1,chemistry
chemotherapy,B2,chemotherapy
cheque,A2,cheque
cherish,B1,cherish
cherished,B2,cherish
cherry,B2,cherry
chess,A2,chess
chest,A2,chest
chest of drawers,B1,chest
chew,B2,chew
chewing gum,B1,chew
chicken,A1,chicken
chief,B1,chief
chief,B2,chief
child,A1,child
childhood,A2,childhood
childish,B2,childish
chili/chilli,A2,chili
chimney,B2,chimney
chimpanzee,A2,chimpanzee
chin,A2,chin
chip,B2,chip
chirp,A2,chirp
chocolate,A1,chocolate
choice,A2,choice
choir,B1,choir
choke,B1,choke
choose,A1,choose
chop,B2,chop
Christian,B1,Christian
chronological,B1,chronological
chuckle,B1,chuckle
chunk,B2,chunk
church,A1,church
cigarette,A2,cigarette
cinema,A1,cinema
circle,A1,circle
circle,B1,circle
circuit,B2,circuit
circuitry,B2,circuitry
circular,B1,circular
circumstance,B2,circumstance
circus,B1,circus
citizen,A2,citizen
citizenship,B1,citizenship
city,A1,city
citywide,B2,citywide
civil,B1,civil
civilization/civilisation,B1,civilization
claim,B1,claim
claim,A2,claim
clam,B2,clam
clap,B2,clap
clarify,B2,clarify
class,A1,class
classic,A2,classic
classic,B2,classic
classical,B1,classical
classical music,A2,classical
classification,B2,classification
classify,B1,classify
classmate,A1,classmate
classroom,A1,classroom
clause,B2,clause
clean,A1,clean
clean,A1,clean
cleaner,A2,cleaner
clear,A2,clear
clear,B1,clear
clearly,A2,clearly
clearness,B2,clearness
clerical,B2,clerical
clerk,A2,clerk
clever,A1,clever
click,B1,click
click,A2,click
client,B2,client
cliff,B1,cliff
climate,B1,climate
climate change,B2,climate
climb,A1,climb
climb,A2,climb
climber,B1,climber
climbing,A2,climb
clinic,B1,clinic
clip,B1,clip
clock,A1,clock
clog,B2,clog
clone,A2,clone
close,A1,close
close,A1,close
closed,A1,close
closely,B1,closely
closure,B2,closure
cloth,A1,cloth
clothes,A1,clothe
clothing,B2,clothing
